student_id,current_cgpa,education_level,study_style,parent_education,screen_time,sleep_time,ads_marks,ads_attendance,ads_interest,ads_assignments,ads_quizzes,ads_participation,ads_performance,ds_marks,ds_attendance,ds_interest,ds_assignments,ds_quizzes,ds_participation,ds_performance,am_marks,am_attendance,am_interest,am_assignments,am_quizzes,am_participation,am_performance,java_marks,java_attendance,java_interest,java_assignments,java_quizzes,java_participation,java_performance,dbms_marks,dbms_attendance,dbms_interest,dbms_assignments,dbms_quizzes,dbms_participation,dbms_performance,study_efficiency,overall_attendance,overall_interest
1,7.745071229516849,btech3,kinesthetic,bachelors,22,10,74.82946095226079,75.12310442339982,9.914805609557153,62.46072081437959,61.63007959506776,44.99964664735859,100.82675259801282,77.66113306548546,65.69491106979794,10.0,61.13811855917772,48.326929916680626,34.14798904881762,97.19268381851231,77.20358807525808,91.524779626353,9.51851388789888,62.52212755012121,54.10791791720788,49.68280418399779,104.38891760180513,81.55513147436226,75.90554398075243,10.0,64.83983563347844,51.6520443344106,42.68892190544609,102.867497779154,68.1445512582399,80.08577842959599,5.459861063294126,53.40720675639191,50.86327724684433,32.23579116571132,83.30370982254257,0.43478260869565216,77.66682350597985,8.978636112150031
2,6.792603548243223,btech4,reading,phd,5,9,71.73358721681973,76.47801427871619,10.0,50.96755036342293,45.49301560134089,40.44290381304835,96.10592406505732,63.79912275950596,63.1786115986787,10.0,50.499924630557345,45.181391085913944,39.55485946057059,88.82542994087669,68.23960232677993,63.922823563217605,9.494435835717256,53.608805790362254,38.91833673421048,34.108151367175346,88.83506688551493,74.58939038658585,76.37815791818421,9.468329725354751,67.51067509109893,52.61407459502764,47.92001557411553,99.17290515907284,56.61387077592515,65.42090124393565,5.017478219531636,53.55704622974351,39.67963538648967,25.467088271160968,71.30975558458063,1.5,69.07570172054648,8.79604875612073
3,7.971532807151039,btech1,reading,masters,21,5,69.84856379474563,70.60694780957186,10.0,60.76157341156555,47.86728593771456,37.87273516971281,95.41583876316182,92.2350285001265,81.20284069571102,10.0,67.16485022772422,58.40385031679858,47.147085638445816,110.09016869044233,60.47848336159139,72.61214676304685,8.572033831728236,45.28233598295675,40.044285681022934,41.60919100922275,84.49013211833227,78.83859090339773,66.32508715973503,10.0,64.67440712959929,58.14845789179344,37.42358572080718,99.85639226248851,63.20679593713874,64.42590482955586,7.7366936998055085,51.558336258657015,46.970113500570726,34.90949105630594,82.59983838702294,0.22727272727272727,71.03458545152412,9.261745506306749
4,9.284544784612038,btech4,kinesthetic,phd,17,11,82.44736548757234,68.25578103678356,10.0,76.24014904333782,57.1381399761003,39.160110863779636,103.46242385897972,77.29271429001265,71.37544524166474,10.0,60.61252221194768,61.47010066468037,44.45061695859976,100.64211271999868,79.71534733377362,66.64579398606554,9.593854701197964,62.63948827923627,51.20229541253804,35.87513205307124,97.73770878668915,73.68866181873548,56.7285662703145,10.0,70.60157453095519,56.28171944267091,40.01961854880103,95.52652870463247,89.21418116745242,76.81851294968894,10.0,68.63808869425094,66.19620984831195,41.00731183445842,108.95637113327207,0.6111111111111112,67.96481989690346,9.918770940239593
5,6.648769937914996,btech3,visual,phd,5,10,65.59041754873682,48.69839195904648,10.0,52.03185558567673,40.69936998816497,33.74097791448511,84.75536844328492,61.68395828376757,44.088572860898864,8.922206323257923,52.250503228735255,45.75345809563332,33.57187328390677,79.36736834020576,42.567060729241916,48.831806879628374,6.271740298515377,38.485618071369096,24.62737477389875,24.975605424171498,59.95853617792158,66.26738340387783,71.98514502590709,9.63845650577931,52.034936739966355,46.6237341553733,42.29235469761784,91.81666702096213,64.97425100542644,60.822060246538875,7.313659849402431,46.49486783140655,58.304067354052194,31.33608398024885,81.89713830215834,1.6666666666666667,54.88519539440394,8.429212595391009
6,6.648794564576229,btech1,kinesthetic,high_school,3,8,54.36698267530334,49.43270291609873,9.268559188013436,42.63760909672253,26.253593536641738,31.3469826739408,74.7159619039959,60.7545996746111,72.45594544454785,7.217401594196074,52.340861442387755,41.52451996767839,37.19297059269529,81.77063549730693,55.96466050792514,66.30689635560951,4.648418973441395,39.08606865161279,43.09426286401887,30.375929996693515,68.55023975752184,69.7167180103079,57.33166719112687,10.0,60.57151005578213,51.851544020927484,40.298425331597755,91.94964547296766,70.2304999328314,71.36785768090667,10.0,47.6305248682145,51.36737863811855,43.485065965376606,94.35224280335451,2.0,63.37901391765793,8.22687595113018
7,9.368819223261088,btech3,visual,bachelors,11,8,77.5230046208293,61.9972624874724,10.0,60.9533728886867,58.61259504363876,37.237344064427624,97.54327578442226,85.6509326537977,76.4624753233926,10.0,66.03311221490702,59.55316618914692,43.321903718235916,106.03705741914496,84.99011709307985,70.97628388447754,10.0,65.34115521209385,58.639973197448704,37.58545161258856,103.88610126400657,88.39906421669627,80.5838922695678,10.0,76.26631880367528,63.580659160944684,41.77147759304919,110.51184006224184,92.27729193587663,75.04670040506468,10.0,73.1967073418719,65.48332827604935,41.972882036331086,110.22693223855825,0.6666666666666666,73.01332287399501,10.0
8,8.151152093729364,btech3,reading,masters,18,10,78.63992261961663,81.48660472800722,10.0,66.01496686968981,50.398275064218346,47.196775120586345,103.36393675633505,77.98597682102164,67.86185633727231,6.575250474701407,61.444585023837696,59.999810580419535,36.23298361744326,89.49535839433315,70.87941466410614,70.56727334900815,9.768143032828583,58.41651320667195,51.58421099151994,44.38398438302535,95.32648559855943,84.88714529177493,67.07684420276212,10.0,68.89467737341097,58.89574227035184,34.47516225966221,103.24647432410303,90.26176769600954,74.71608161090913,8.06531504777065,72.79345390646395,55.58900206149044,36.291391465892154,101.97284510018167,0.5263157894736842,72.34173204559178,8.881741711060126
9,6.295788421097572,btech2,reading,high_school,1,12,65.63215764102593,72.29595252371502,10.0,55.0596187460698,43.93836531230342,42.45829306655285,92.79134642228087,53.427534226726436,52.14641918005394,10.0,41.50292837879739,44.10377159801087,36.66576674491052,79.855944441228,62.46083629591749,94.78301630117011,6.078972183185261,47.02732702267867,49.00361717254142,40.59715683276341,86.06079758755682,70.32740178448513,62.86197040784261,10.0,63.07334944296816,47.52618651411758,38.53651772014795,93.5794822297097,56.367693476796944,62.40917143064071,7.8289592730328,39.04391486036408,32.29964578313588,43.34063990764564,75.45824073553439,6.0,68.89930596868447,8.781586291243611
10,7.8138400653789475,btech1,visual,high_school,16,12,72.3731957161617,76.91668824443872,10.0,49.945250561325096,58.584163325166664,41.528084213886096,98.30369684277007,74.33252338753339,72.00819680393525,10.0,52.50754064186964,47.36317735849648,42.72095625868664,96.31607609624885,68.37196816455923,61.801559016101294,9.098665240624848,61.027564063526356,39.234319497444275,32.833605845172045,88.22453322667423,75.0054531016071,71.4360438888065,10.0,57.32802325230474,52.639061309657095,43.74260161779012,97.92805709157906,73.8760368803909,63.14510607131656,9.212215594963254,52.016862669039085,52.339853802609774,36.35818439141093,91.78410082918842,0.7058823529411765,69.06151880491966,9.66217616711762
